eng,zho
"The day a vacuum exists, it's an organic body, it's alive, it's emotional, and it's going to think about people, and people will think about it.","假存在的那一天,它是一个有机的身体,它活着,它是情感的,它会想到人们,人们会想到它."
The words of the scholar Liu Yun-Keng are a reminder of the long history of the Chinese exhibition.,云的言论提醒我们中国展览的悠久历史.
"(Journalist Dong Sun Yue, Ding Shih, Gu Yu-Yun)","记者唐孙,丁希,郭玉云"
"To this end, relevant departments will implement planning and implementation of supervision, strengthen supervision inspections of the strictly observed baseline of space security, and strongly maintain the authority and seriousness of the planning; implement monitoring assessment pre-warning mechanisms and optimized adjustment mechanisms for the national geospatial planning; strengthen the planning of regular medical examinations and five-year assessments, based on the results of medical examinations, and combine the national economic and social development plan with timely optimization of the planning adjustments, and actively adapt to the new needs of economic and social development.","为此,有关部门将实施监督规划和实施,加强监督检查,严格遵守空间安全基线,并强烈维持规划的权威和严重性;实施监测评估预警机制和优化调整机制,为国家地质规划;加强基于医疗检查结果的定期医疗检查和五年评估的规划,并将国家经济和社会发展计划与规划调整的及时优化结合,积极适应经济和社会发展的新需求."
The Ministry of Natural Resources's relevant heads stressed the need to strengthen planning authority.,自然资源部有关负责人强调加强规划权力.
"The plan, once criticized, must not be modified or altered by any department or individual to prevent another Party Committee or Government from changing the plan.","一旦被批评,该计划不得由任何部门或个人修改或改变,以防止其他党委或政府改变该计划."
"Sub-national space planning must obey the upper-national space planning, special planning and detailed planning must obey the overall planning; adhere to pre-planning and post-implementation, must not violate the national space planning for development and construction activities; adhere to the multi-discipline, and not to alternative space planning other than the national space planning system.","亚国家空间规划必须遵守上层国家空间规划,特别规划和详细规划必须遵守总体规划;遵守预规划和后实施,不得违反国家空间规划,用于开发和建设活动;遵守多学科规划,而不是其他国家空间规划系统的替代空间规划."
"In addition, the plan will include the consolidation of agricultural, ecological, town space, improvement of town and village layout, improvement of urban functional and spatial layout, coordination of industrial layout, integrated transportation, facility allocation and land use, consolidation of water, energy, environment, communications, defense, and infrastructure, as well as urban and rural public service facilities.","此外,该计划将包括农业,生态,城市空间的整合,改善城市和村庄布局,改善城市功能和空间布局,协调工业布局,集成交通,设施分配和土地使用,水,能源,环境,通信,国防和基础设施的整合,以及城市和农村公共服务设施."
"Strengthen planning and land policy integration, consolidate growth and storage space, intensify the use of live storage space, advance scientifically the efficient development of inefficient land and land integrated rehabilitation, strengthen the integration of land and underground space planning and utilization, promote the increased efficiency of land use, and provide renewable energy for urban transformation and organic renewal.","加强规划和土地政策整合,巩固增长和存储空间,加大活存储空间的使用,科学上推动高效地产和土地综合复兴的发展,加强土地和地下空间规划和利用的整合,促进土地利用的提高效率,为城市转型和有机更新提供可再生能源."
"The three lines of control for the development of the border between towns and cities will be implemented strictly in the national and provincial national land and land plans, including the land and permanent basic agricultural land, the Red Line of Ecological Protection and the Red Line of Urban Development.","城市和城镇之间的边界发展的三条控制线将严格落实在国家和省级国家土地和土地计划中,包括土地和永久基础农业土地,生态保护红线和城市发展红线."
