zho,eng,zho_reverse,zho_eng_jaccard,eng_zho_jaccard,zh_nsubjs,en_nsubjs,rev_nsubjs
"  得益于盘活存量资源，一块块荒地正蝶变成宝地，一个个传统企业焕然一新，一项项“无形资产”被“有形盘活”，为经济发展注入新的活力和动力
","Thanks to the abundance of resources, a piece of wasteland is turning into a treasure, a traditional enterprise is being rebuilt, a collection of intangible assets is being recycled into a plastic plate, injecting new vitality and momentum into economic development.","由于资源丰富,一块荒地变成了宝藏,传统企业重建,一系列无形资产被回收到塑料板上,为经济发展注入了新的活力和动力.",0.1111111111111111,0.8181818181818182,2,1,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  明确方向，以科技创新引领产业创新  “产业有新有旧、有大有小，都是现代化产业体系的重要组成
","The new and old, large and small aluminum industry is an important part of the modern industrial system.","新旧,大小工业是现代工业体系的一个重要组成部分.",0.14285714285714285,0.7142857142857143,0,1,1
"”中国信息通信研究院政策与经济研究所所长辛勇飞说，实现新旧动能平稳接续转换，要科学把握“稳”与“进”、“立”与“破”的辩证关系，在培育新兴产业、未来产业和改造提升传统产业上协同发力
","Xin Yongfei, director of the Institute of Policy and Economics of the Institute of Information and Communications of China, said that to achieve a smooth and continuous transformation of new and old energies, science must grasp the diametrical relationship between lithium and lithium, lithium and lithium, and the development of emerging industries, future industries and transformation and upgrading of traditional industries.","中国信息通信研究所政策与经济研究所主任新永菲表示,为了实现新能源和旧能源的顺利和连续转型,科学必须理解与,和之间的直径关系,以及新兴工业的发展,未来工业以及传统工业的转型和升级.",0.6,0.625,1,2,2
"
",The first is,第一个是,0.25,0.4,0,1,0
"  “这套取火器是此遗址发现的最长、保存最完整的钻木取火器具
",The set of fire extinguishers is the longest and most complete preserved of the wood-burning fire extinguishers found at the site.,"消防器是现场最长,最完整的木材燃烧消防器.",0.09090909090909091,0.2857142857142857,4,1,3
"”甘恢元说，取火板的一端还有一圈环形刻槽，可用于系绳，便于先民随身携带或悬挂
","Zhang said that a ring-shaped slot on one end of the fireplaces could be used to tie ropes, which could be carried or hung by the first settlers.","张说,炉的一端上有一条圆形的插槽可以用来绑绳,",0.6153846153846154,0.5833333333333334,3,1,2
"此外，先民在取火板上等距离预留了刻槽，以便在取火时，火星能够顺着刻槽下落，引燃火绒等易燃物
","In addition, the first humans set aside a hole in the fireplaces so that when the fire was extinguished, Mars could descend in sequence and ignite flammable objects such as torches.","另外,第一批人类在炉里设置了一个洞,",0.7777777777777778,0.4444444444444444,2,2,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  行业的普遍共识是，新的汽车产业革命“上半场”拼的是电动化，而“下半场”比的是智能化
","The industry's general consensus is that the first half of the new automotive revolution is about electrification, while the second half is about smart.","工业界普遍认为,新汽车革命的第一半是关于电气化,",0.08333333333333333,0.4166666666666667,4,3,1
"作为全球汽车产业乃至科技竞争的制高点之一，“智能驾驶”赛道上的争夺也日益白热化
","As one of the highlights of global automotive industry and technology competition, competition on the racetrack for smart cockpits is also increasingly heating up.","作为全球汽车行业和技术竞争的亮点之一,",0.6363636363636364,0.2727272727272727,1,1,0
"
",The first is,第一个是,0.25,0.4,0,1,0
"春节的年味儿还没散，国家乳业技术创新中心总部的乳品工艺实验室里早已开展了多次联合实验和技术交流
",The yearly celebration of Spring Festival is still underway and several joint experiments and technical exchanges have been carried out in the dairy processing laboratory at the National Dairy Technology Innovation Centre.,"春节的年度庆祝活动仍在进行中,在国家乳制品技术创新中心的乳制品加工实验室进行了多次联合实验和技术交流.",1.0,0.875,1,1,1
"“今年是我们精深加工技术成果转化、项目落地投产的关键一年，大家丝毫不敢松懈、热情都很高
","This year is a critical year for our transformation of deep processing technology and the launch of projects, and we are all very excited and excited.","今年是我们对深度处理技术的转型和项目启动的关键年,我们都非常兴奋.",0.6363636363636364,0.6363636363636364,3,2,2
"” 全国人大代表、国家乳业技术创新中心高级专家、伊利集团全球创新中心科学研究总监王彩云长期聚焦我国奶业精深加工核心技术的攻关
","Wang Wang Yun, Senior Specialist at the National Milk Technology Innovation Center, Director of Scientific Research at the Global Innovation Center at Eli Group, has long focused on the core technologies of the dairy industry.","伊利集团全球创新中心科学研究主任王王云,",0.7,0.4,1,1,0
"能够突破国际技术壁垒、实现国产化生产应用，把奶瓶子牢牢握在中国人自己的手里，是她的梦想
","She has a dream to break international technological barriers, to achieve domestic production applications, to hold milk bottles in Chinese hands.","她梦想着打破国际技术障碍,实现国内生产应用,",0.8571428571428571,0.7142857142857143,0,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  一部分答案藏在斜街中部的一个红色邮筒里
",Some of the answers are hidden in a red postcard in the middle of the slope.,部分答案藏在一张红色的明信片中.,0.16666666666666666,0.5,1,0,1
"这是大栅栏街区责任规划师、北京工业大学教授熊文的“秘密武器”
","This is the secret weapon of the great Japanese block of responsibility planner, professor of Chinese at Beijing Industrial University.","这就是日本大块责任规划师,北京工业大学中文教授的秘密武器.",0.45454545454545453,0.45454545454545453,0,1,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  依据《通知》，中央财政奖励资金专项用于支持县域充换电设施补短板试点工作，由地方统筹用于支持试点县公共充换电设施建设、运营，配电网改造以及能源信息管理等相关支出，不得用于其他国家级充换电设施建设应用推广或试点示范等项目支持下的集中式公共充换电场站建设、集中式专用充换电场站建设、社区公共充换电设施共享，以及充换电网络建设运营等工作
","According to the notification, the special financial incentive funds for the support of pilot projects to replenish short panels for charging facilities in the county, to be jointly funded by local authorities to support the construction, operation, conversion of the distribution network and energy information management of the pilot projects, and not to be used for projects such as the construction of centralized public charging stations, the construction of centralized dedicated charging stations, the sharing of community public charging facilities, and the operation of charging networks, supported by other national projects such as the promotion of applications for the construction of charging facilities or pilot demonstrations.","根据通知,用于补充该县充电设施短板的试点项目,由地方当局共同资助,支持试点项目建设,运营,转换分销网络和能源信息管理,而非用于建设集中式公共充电站,建设集中式专用充电站,共享社区公共充电站和运营充电网络等项目,由其他国家项目支持,如推广用于建设充电设施的申请或试点示范.",0.045454545454545456,0.3181818181818182,3,0,0
"
",The first is,第一个是,0.25,0.4,0,1,0
"  《实施方案》提出，金融机构要从需求侧重点服务产业结构优化升级，能源体系低碳转型，生态环境质量改善和生物多样性保护，碳市场建设等领域
","The implementation of the project is aimed at improving the structure of the financial institutions from a demand-focused service industry to an optimized upgrade, a low-carbon transformation of the energy system, improvement of the quality of the ecological environment and protection of biodiversity, and the construction of carbon markets.","项目实施旨在从需求为中心的服务业提高金融机构结构,实现优化升级,低碳转型能源系统,提高生态环境质量和保护生物多样性,建立碳市场.",0.09090909090909091,0.38461538461538464,6,0,1
"要从供给侧优化金融服务，加大银行信贷供给，完善绿色保险体系，拓展绿色金融服务渠道，健全绿色金融标准，逐步建立完善信息披露机制
","The aim is to optimize financial services from the supply side, increase the supply of bank credit, improve the green insurance system, expand the green financial services channel, strengthen green financial standards and gradually establish improved disclosure mechanisms.","目标是从供应方面优化金融服务,增加银行信贷供应,完善绿色保险体系,扩大绿色金融服务道,加强绿色金融标准,逐步建立更好的披露机制.",0.38461538461538464,0.5454545454545454,1,1,1
"鼓励金融机构开发特色绿色金融产品服务，规范开展绿色债券业务，加强募集资金管理
","Encourage financial institutions to develop features of green financial products services, regulate green bond business and strengthen fundraising management.","鼓励金融机构发展绿色金融产品服务的特征,规范绿色债券业务,加强筹款管理.",0.7142857142857143,0.8571428571428571,0,0,0
"保险公司要围绕服务绿色转型，研发有针对性的风险保障方案，推动绿色保险业务提质增效，加强保险资金运用，通过投资绿色债券、绿色资产支持证券、保险资产管理产品等参与绿色项目投资
","Insurance companies should invest in green projects, including green services, green transformation, targeted risk management, green business enhancement, increased use of insurance funds, and investing in green bonds, green asset support securities, and insurance asset management products.","保险公司应投资绿色项目,包括绿色服务,绿色转型,针对性风险管理,绿色业务增强,增加保险基金的使用,并投资绿色债券,绿色资产支持证券和保险资产管理产品.",0.5333333333333333,0.4117647058823529,1,1,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"　　新华社社长傅华在会上发表主旨演讲表示，中日两国一衣带水，文化相通相近，历史人文渊源深厚
","In his keynote address, Xinhua editor Liu Hua said that the two countries' clothing brought water, cultural ties and deep historical and human resources.","华宇公司的编辑华在演讲中表示,两国服装带来了水,文化联系,",0.08333333333333333,0.75,4,2,2
"中日两国人文交流在新时代大有可为
",The Chinese-Japanese exchange of people-to-people is a new era.,互联网的互动是新时代.,0.875,0.625,1,1,1
"两国媒体智库界应继往开来、担当责任，携手传播和平共处理念、拓宽世代友好桥梁、拉紧互利合作纽带、唱响共同发展强音，推动两国人文交流不断取得新进展新成效
","The media community of the two countries should continue to develop, take responsibility, work together to spread peace and co-operation, broaden the bridges of generational friendship, strengthen the bonds of mutual benefit, promote the development of a strong voice and promote the continuous development of human and human exchanges between the two countries.","双方的媒体界应继续发展,承担责任,共同努力,促进和平与合作,扩大世代友的桥梁,加强互利的联系,促进强大声音的发展,促进两国之间的人与人交流的持续发展.",0.47058823529411764,0.6666666666666666,2,1,1
"面向未来，新华社愿与中日媒体智库同仁一道，共同讲好中日增进互信合作的动人故事，续写两国人民相知相亲的历史佳话
","Looking to the future, the Chinese community is willing to work with the Chinese-Japanese media think tank to share the exciting stories of China-Japan enhancing mutual trust and cooperation, and to rewrite the history of the people of the two countries who know each other.","展望未来,中国社会愿意与中日媒体智库合作,分享中日互信和合作的令人兴奋的故事,",0.3333333333333333,0.5625,2,2,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  今年年初，淘宝、美团、小红书推出数十部微短剧，长视频与短视频平台“牵手”等新动向，“有望合力提升行业天花板”，给微短剧题材同质化、创新力不足、审美疲劳等问题，提供了新的解决思路
","Earlier this year, Taobao, Mercy, and Little Red Book launched dozens of short films, feature films and short video platforms, which together will raise the industry's ceiling, give them a new solution to the problems of synthesis, lack of innovation, aesthetic fatigue, and more.","今年早些时候,淘宝,梅西和小红书推出了数十部短片,长片和短视频平台,",0.06666666666666667,0.4666666666666667,3,2,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"  ——增强科技支撑，从“漫天撒网”到“精准定向”治污
","The technology support is enhanced by the use of a new technology, which is aimed at curing contamination from the scarcity of the network to the precision of the target.","技术支持通过使用一种新技术得到加强,该技术旨在从网络稀缺到目标精度的污染.",0.07692307692307693,0.2777777777777778,0,0,3
"太原市大气污染防治调度中心每天派出无人机，排查违法排污的蛛丝马迹；紧盯重点工业企业用电监管数据，如有异常就立即展开排查；接入排污口的污染源在线监测实时数据，如果超标及时预警；布设在省城国道上的黑烟车报警系统，实时抓拍拖着“黑尾巴”的柴油货车；通过车辆基本信息及北斗定位数据，紧盯渣土车是否进入禁行区；通过环境敏感区设立的“电子围栏”，判定是否有高排放的施工机械进入“电子围栏”范围
","The TTAC sends out unmanned aerial vehicles every day to scan for illegal pollution; tightly focused industrial enterprises use electricity control data, if there are exceptions, immediately open the screening; access to pollution sources online monitoring data, if over-excess timely warning; set up a black smoke alarm system on the provincial highway, real-time to catch diesel cars that drag black tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail ta","美国联邦交通管制局每天发送无人机扫描非法污染;密切集中工业企业使用电力控制数据,如果有例外,立即开选;访问污染源在线监测数据,如果过度及时警告;在省高速公路上设置黑烟警报系统,实时捕获轮汽车,拖着黑尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾尾",0.6875,0.4666666666666667,3,3,1
"
",The first is,第一个是,0.25,0.4,0,1,0
"中国人的饭桌上，三餐四季，五味俱全
","Chinese food is always served at the table, three meals, four seasons, five flavors.","餐桌上总是提供中国菜,三餐,四季节,五种味道.",0.8,1.0,0,0,0
"所谓“五味”，人们通常指“酸甜苦辣咸”，中医则分为“酸苦甘辛咸”
","The name ""Chenchong"" is often used to refer to the Chinese word ""Chenchong"", which is a Chinese word for ""Chenchong"".","通""这个名字通常用来指""通""的中国词,这是""通""的中国词.",0.4166666666666667,0.4,2,1,0
"不同的味道与健康之间存在什么关系？
",What is the relationship between different tastes and health?,不同口味和健康之间的关系是什么?,0.42857142857142855,0.8333333333333334,0,1,1
"　　哪些人适合吃辛辣食物？　　“还要避免‘大量辣椒+冰镇饮料’的冷热叠加式吃法
",Who is suitable for eating raw food? The cook should also avoid eating cold-heated superseded foods that contain a large amount of raw rice + ice cream.,厨师还应该避免吃大量的生米+冰淋的冷热替代食品.,0.14285714285714285,0.6,1,3,2
"”王蕤说，血管的急剧舒缩变化，尤其危及脑梗、冠心病、高血压等患者及冠状动脉搭桥术后人群健康
","Wang Yi said that the rapid changes in blood vessels, especially in patients with stroke, coronary heart disease, high blood pressure and coronary artery bypass surgery, are at risk.","王表示,血管的快速变化,特别是中风,冠心病,高血压和冠心血管绕行手术患者,",0.375,0.5,0,2,3
"
",The first is,第一个是,0.25,0.4,0,1,0
"  跨境医疗并不是一件容易的事，这个越南家庭异国求医的背后，是一整套多部门协作的国际诊疗服务体系在保驾护航
","Cross-border healthcare is not an easy task, and behind this family seeking medical care abroad in Vietnam is a multi-sectoral collaborative international clinical service system that is driving the flight.","越南境外寻求医疗服务的这家人背后,",0.1,0.4166666666666667,3,2,1
"在病房内的桌子上，我留意到有一台医院给患者家属配备的翻译机，“我们还有专门的越南语翻译人员可以随时提供服务
","On the table in the hospital room, I noticed that there was a translator in the hospital for the families of the patients, and we had a dedicated Vietnamese translator who could help us at any time.","我注意到医院里有一个翻译员为病人家人提供服务,",0.5333333333333333,0.38461538461538464,4,3,2
"”何云燕说，“医疗健康是民心相通的关键领域，他们选择来到中国治疗，这是一份沉甸甸的信任，对待任何一名患者，我们都会尽百分百的努力
","Liu Yun-yeon said that the health of the people of Yang is a key area of common interest and they chose to come to China for treatment, which is a belief in the Chinese government that we will do our best to treat any one patient.","云云说, 扬人民的健康是共同利益的一个关键领域,",0.6,0.42105263157894735,5,5,1
"”
",What is it?,什么是?,0.3333333333333333,0.3333333333333333,0,1,0
"　　一方面，食物中的辛味和辣味源自相同的化学成分，它们带给人的味觉感受也相似
","On the one hand, the flavor and flavor of food comes from the same chemical ingredients, which give people similar taste sensations.","一方面,食物的味道和味道来自同样的化学成分,",0.1111111111111111,0.6666666666666666,3,2,1
"王蕤介绍，辣椒素、大蒜素、姜辣素等化合物，会刺激口腔中的痛觉受体，产生灼热、刺痛和麻木感，同时促使神经系统释放内啡肽，带来愉悦感
","Wang Yi said that compounds such as carotenoid, carotenoid, and carotenoid stimulate the pain receptors in the mouth, causing burning, stinging, and numbness, while also stimulating the nervous system to release endorphins and bring pleasure.","王说,卡罗丁,卡罗丁和卡罗丁等化合物刺激口腔疼痛受体,导致灼伤,刺痛和麻木,同时还刺激神经系统释放安多芬,带来快乐.",0.5833333333333334,0.6666666666666666,1,3,3
