,zh
0,  烈士纪念设施是党和国家的红色基因库，第七批国家级烈士纪念设施的公布，不仅是对英烈的深切缅怀，更是对红色文化的赓续传承
1,退役军人事务部要求，各地退役军人事务部门要深入贯彻落实习近平总书记关于烈士褒扬工作重要指示批示精神，用心用情用力保护好、管理好、运用好红色资源，挖掘英烈事迹，提升展陈水平，讲好英烈故事，进一步发挥国家级烈士纪念设施宣教示范引领作用，营造崇尚英雄、缅怀先烈、争做先锋的浓厚氛围，为以中国式现代化全面推进强国建设、民族复兴伟业凝聚强大精神力量
2,
3,　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
4,让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
5,　　加强廉洁建设
6,纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
7,以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
8,以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
9,以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
10,　　加强作风建设
11,作风优良是纪检监察机关履职尽责的重要保证，必须敬畏权力、敬畏人民，确保党和人民赋予的权力不被滥用
12,发扬斗争精神，在重大政治原则和大是大非问题上敢于交锋、勇于亮剑，在同歪风邪气和腐败现象作斗争时不信邪、不怕鬼、不怕压，为捍卫党和人民的利益斗争到底
13,发扬担当精神，以时不我待、只争朝夕的干劲，把各项工作想在前、做在前，持之以恒推进党风廉政建设和反腐败斗争
14,弘扬法治精神，强化法治意识、程序意识、证据意识，严格按照法定权限、规则、程序办事，确保每个案件经得起实践、人民、历史检验
15,　　加强能力建设
16,纪检监察机关是党内监督和国家监察专责机关，在管党治党中承担着重要职责，必须敬畏责任、敬畏使命，高质量完成好党和人民交给的任务
17,着眼提高干部专业素养，开展涵盖业务全链条的纪法培训，加强履职通识培训，分层级分领域精准施训，扎实推进纪检监察学科建设，不断提升发现处置问题、开展思想政治工作、推进以案促改促治、研判处置涉纪涉腐舆情等能力
18,着眼提高监督执纪执法质量，教育引导干部牢固树立和践行正确政绩观，坚持实事求是，严格依规依纪依法，正确把握政策策略，准确定性量纪执法，毋枉毋纵，安全文明办案，实现政治效果、纪法效果、社会效果有机统一
19,实施加强组织建设三年行动计划，着眼优化干部选育管用机制，完善干部准入机制，加强监督执纪执法专业人才储备，完善拓展培养机制，优化干部梯队建设，稳妥有序推进干部轮岗交流，有计划安排干部到正风肃纪反腐一线磨砺，完善考核评价机制，激励干部担当作为
20,　　加强政治建设
