zho,eng,zho_reverse
"  烈士纪念设施是党和国家的红色基因库，第七批国家级烈士纪念设施的公布，不仅是对英烈的深切缅怀，更是对红色文化的赓续传承
","The Red Genome Library of the Party and the State, the seventh National Martyrs Memorial, is a publicity campaign to promote not only the deepest memory of the martyrs but also the continuing legacy of the Red Culture.","党和国家红基因组图书馆,第七届全国烈士纪念馆,是宣传活动,"
"退役军人事务部要求，各地退役军人事务部门要深入贯彻落实习近平总书记关于烈士褒扬工作重要指示批示精神，用心用情用力保护好、管理好、运用好红色资源，挖掘英烈事迹，提升展陈水平，讲好英烈故事，进一步发挥国家级烈士纪念设施宣教示范引领作用，营造崇尚英雄、缅怀先烈、争做先锋的浓厚氛围，为以中国式现代化全面推进强国建设、民族复兴伟业凝聚强大精神力量
","The Ministry of Veterans Affairs demands that the departments of Veterans Affairs in all parts of the country thoroughly implement the important directions of Xi Jinping Secretary-General on the work of praising martyrs to criticize, protect, manage and use good red resources, dig up strong traces, raise the level of exhibition, tell good stories, further use the national level of martyrs' memorial facilities to lead the demonstration, create a strong atmosphere of venerable heroes, and earnestly strive to be pioneers, to promote the Chinese modernization and the full development of strong nation building, and to consolidate the strong spirit of national revival.","退伍军人事务部要求全国各处退伍军人事务部门全面执行习近平秘书长对称赞殉道者的重要指导,包括批评,保护,管理和利用良好的红色资源,挖掘强的痕迹,提高展览水平,讲述良好的故事,进一步利用国家级的殉道纪念设施领导示威活动,创造尊贵英雄的强烈气氛,并切实努力成为先驱,促进中国现代化和强大民族建设的全面发展,巩固强烈的民族复兴精神."
"
",The first is,第一个是
"　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
","Comrades, the new era of the new journey is a new beginning from the new party station, opening up new situations, the mission of the judiciary and surveillance work is honored, and the focus is on the country.","同志们,新旅程的新时代是从新党站开始,开辟新的局面,"
"让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
","Let us unite more closely around the party center center, centered on comrade Xi Jinping, to concentrate and strive to advance the high-quality development of the new era of surveillance and surveillance work with a never-ending spirit, to provide strong guarantees for the comprehensive promotion of strong nation building and national revival in China through modernisation.","让我们更加紧密地团结在党中心,以习近平同志为中心,以以永恒的精神集中精力,努力推动新时代监控和监控工作的高质量发展,"
"　　加强廉洁建设
",Strengthening clean construction,加强清洁建筑
"纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
","The judiciary is a law enforcement agency that must respect discipline, respect the law, be a measure of self-revolution, and respect the law.","司法是执法机构,必须尊重纪律,尊重法律,"
"以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
","The regulation is strictly enforced, with strong administrative controls, strict disciplinary requirements, strict compliance with the red line, and the practice of the personnel of the disciplinary supervision is to work in a strict and rigorous atmosphere.","严格执行,严格的行政控制,严格的纪律要求,严格遵守红线,纪律监督人员在严格的环境中工作."
"以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
","With severe punishment for violent shelling, knife-edged inwards, self-harming rotting meat, clearing of the harmful groups, the prosecutor's office will never allow the hiding place of corrupt criminals, never allow illegal crime shelters to protect the hiding place.","由于暴力炮击,刀刃内射,自杀腐烂肉类,清除有害团体,"
"以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
","With a warm heart, genuine concern for initiatives, increase the awards, typical promotion, occupational protection, support for comfort, and other strengths, manage the good sword fund, enhance the sense of professional honor and belonging of the personnel of the judiciary supervision.","热情,对倡议的真诚关注,增加奖励,典型的晋升,职业保护,舒适性支持等优势,管理良好的剑基金,提高司法监督人员的职业荣誉和归属感."
"　　加强作风建设
",Strengthening the construction of the windmill,加强风机的建设
"作风优良是纪检监察机关履职尽责的重要保证，必须敬畏权力、敬畏人民，确保党和人民赋予的权力不被滥用
","The good conduct of the judiciary is an important guarantee of the duty of the judiciary to respect the authority, to respect the people, to ensure that the power given to the party and the people is not abused.","司法部门的良好行为是司法部门尊重权威,尊重人民的责任的重要保障,"
"发扬斗争精神，在重大政治原则和大是大非问题上敢于交锋、勇于亮剑，在同歪风邪气和腐败现象作斗争时不信邪、不怕鬼、不怕压，为捍卫党和人民的利益斗争到底
","To promote the spirit of struggle, to fight for the right to stand up and fight for the right to defend the interests of the party and the people in the face of the prevailing wind and corruption, not to fear evil, not to fear ghosts, not to fear pressure, and not to be afraid of the interests of the people.","为了促进斗争精神,为起身,为捍卫党和人民的利益而战,"
"发扬担当精神，以时不我待、只争朝夕的干劲，把各项工作想在前、做在前，持之以恒推进党风廉政建设和反腐败斗争
","To promote the spirit of responsibility, to not wait for the moment, to fight only for the morning, to put everything before and do before, to keep the party building and the fight against corruption in a sustainable way.","为了促进责任精神,不要等待这一刻,只为早晨而战,"
"弘扬法治精神，强化法治意识、程序意识、证据意识，严格按照法定权限、规则、程序办事，确保每个案件经得起实践、人民、历史检验
","To promote the spirit of the rule of law, strengthen the sense of rule of law, procedural awareness, awareness of evidence, to operate strictly in accordance with statutory authority, rules and procedures, to ensure that every case passes through the hands of the people, the historical examination.","促进法治精神,加强法治意识,程序意识,对证据的意识,严格按照法定权力,规则和程序运作,确保每个案件都通过人民手中,"
"　　加强能力建设
",Strengthening capacity building,加强能力建设
"纪检监察机关是党内监督和国家监察专责机关，在管党治党中承担着重要职责，必须敬畏责任、敬畏使命，高质量完成好党和人民交给的任务
","The Disciplinary Supervisory Body is the body responsible for internal supervision and national supervision, which has important responsibilities in the ruling party, which must respect the responsibility, respect the mission, and perform the tasks entrusted to the good party and the people with high quality.","纪律监督机构是负责内部监督和国家监督的机构,在执政党中有重要责任,该机构必须尊重责任,尊重使命,并高质量地执行对善良党和人民所委托的任务."
