zho,eng
"  烈士纪念设施是党和国家的红色基因库，第七批国家级烈士纪念设施的公布，不仅是对英烈的深切缅怀，更是对红色文化的赓续传承
","The Red Genome Library of the Party and the State, the seventh National Martyrs Memorial, is a publicity campaign to promote not only the deepest memory of the martyrs but also the continuing legacy of the Red Culture."
"退役军人事务部要求，各地退役军人事务部门要深入贯彻落实习近平总书记关于烈士褒扬工作重要指示批示精神，用心用情用力保护好、管理好、运用好红色资源，挖掘英烈事迹，提升展陈水平，讲好英烈故事，进一步发挥国家级烈士纪念设施宣教示范引领作用，营造崇尚英雄、缅怀先烈、争做先锋的浓厚氛围，为以中国式现代化全面推进强国建设、民族复兴伟业凝聚强大精神力量
","The Ministry of Veterans Affairs demands that the departments of Veterans Affairs in all parts of the country thoroughly implement the important directions of Xi Jinping Secretary-General on the work of praising martyrs to criticize, protect, manage and use good red resources, dig up strong traces, raise the level of exhibition, tell good stories, further use the national level of martyrs' memorial facilities to lead the demonstration, create a strong atmosphere of venerable heroes, and earnestly strive to be pioneers, to promote the Chinese modernization and the full development of strong nation building, and to consolidate the strong spirit of national revival."
"
",The first is
"　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
","Comrades, the new era of the new journey is a new beginning from the new party station, opening up new situations, the mission of the judiciary and surveillance work is honored, and the focus is on the country."
"让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
","Let us unite more closely around the party center center, centered on comrade Xi Jinping, to concentrate and strive to advance the high-quality development of the new era of surveillance and surveillance work with a never-ending spirit, to provide strong guarantees for the comprehensive promotion of strong nation building and national revival in China through modernisation."
"　　加强廉洁建设
",Strengthening clean construction
"纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
","The judiciary is a law enforcement agency that must respect discipline, respect the law, be a measure of self-revolution, and respect the law."
"以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
","The regulation is strictly enforced, with strong administrative controls, strict disciplinary requirements, strict compliance with the red line, and the practice of the personnel of the disciplinary supervision is to work in a strict and rigorous atmosphere."
"以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
","With severe punishment for violent shelling, knife-edged inwards, self-harming rotting meat, clearing of the harmful groups, the prosecutor's office will never allow the hiding place of corrupt criminals, never allow illegal crime shelters to protect the hiding place."
"以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
","With a warm heart, genuine concern for initiatives, increase the awards, typical promotion, occupational protection, support for comfort, and other strengths, manage the good sword fund, enhance the sense of professional honor and belonging of the personnel of the judiciary supervision."
"　　加强作风建设
",Strengthening the construction of the windmill
