zho,eng,jaccard
"  “只要胡同存在一天，它便是个有机体，有生命、有感情，他会思念远人，远人也会思念它
","The day a vacuum exists, it's an organic body, it's alive, it's emotional, and it's going to think about people, and people will think about it.",0.09090909090909091
"”展览结语中，学者邓云乡的话令人回味悠长
",The words of the scholar Liu Yun-Keng are a reminder of the long history of the Chinese exhibition.,0.6666666666666666
"（记者董素玉 丁静 郭宇靖）
","(Journalist Dong Sun Yue, Ding Shih, Gu Yu-Yun)",0.75
"  为此，有关部门将开展规划实施监督，强化对严守空间安全底线等的监督检查，坚决维护规划的权威性和严肃性；健全国土空间规划实施监测评估预警机制和优化调整机制，加强规划定期体检和五年评估，根据体检评估结果，结合国民经济和社会发展规划，适时对规划进行优化调整，积极适应经济社会发展的新需求
","To this end, relevant departments will implement planning and implementation of supervision, strengthen supervision inspections of the strictly observed baseline of space security, and strongly maintain the authority and seriousness of the planning; implement monitoring assessment pre-warning mechanisms and optimized adjustment mechanisms for the national geospatial planning; strengthen the planning of regular medical examinations and five-year assessments, based on the results of medical examinations, and combine the national economic and social development plan with timely optimization of the planning adjustments, and actively adapt to the new needs of economic and social development.",0.07692307692307693
"  自然资源部有关负责人强调，要强化规划权威
",The Ministry of Natural Resources's relevant heads stressed the need to strengthen planning authority.,0.125
"规划一经批复，任何部门和个人不得随意修改、违规变更，防止出现换一届党委和政府改一次规划
","The plan, once criticized, must not be modified or altered by any department or individual to prevent another Party Committee or Government from changing the plan.",0.7
"下级国土空间规划要服从上级国土空间规划，相关专项规划、详细规划要服从总体规划；坚持先规划、后实施，不得违反国土空间规划进行各类开发建设活动；坚持“多规合一”，不在国土空间规划体系之外另设其他空间规划
","Sub-national space planning must obey the upper-national space planning, special planning and detailed planning must obey the overall planning; adhere to pre-planning and post-implementation, must not violate the national space planning for development and construction activities; adhere to the multi-discipline, and not to alternative space planning other than the national space planning system.",0.5833333333333334
"  此外，规划将统筹农业、生态、城镇空间，完善城镇体系和村庄布局，完善城市功能结构和空间布局，协调产业布局、综合交通、设施配置和土地使用，统筹水利、能源、环境、通信、国防等基础设施以及城乡公共服务设施布局等
","In addition, the plan will include the consolidation of agricultural, ecological, town space, improvement of town and village layout, improvement of urban functional and spatial layout, coordination of industrial layout, integrated transportation, facility allocation and land use, consolidation of water, energy, environment, communications, defense, and infrastructure, as well as urban and rural public service facilities.",0.04
"加强规划与土地政策融合，统筹增量和存量空间，大力盘活存量空间，科学有序推进低效用地再开发和土地综合整治，加强地上地下空间一体化规划和利用，推动土地利用提质增效，为城市转型发展和有机更新提供新动能
","Strengthen planning and land policy integration, consolidate growth and storage space, intensify the use of live storage space, advance scientifically the efficient development of inefficient land and land integrated rehabilitation, strengthen the integration of land and underground space planning and utilization, promote the increased efficiency of land use, and provide renewable energy for urban transformation and organic renewal.",0.5384615384615384
"  据介绍，本轮规划将严格落实国家和省级国土空间规划下达的耕地和永久基本农田、生态保护红线、城镇开发边界三条控制线，将其作为调整经济结构、规划产业发展、推进城镇化不可逾越的红线
","The three lines of control for the development of the border between towns and cities will be implemented strictly in the national and provincial national land and land plans, including the land and permanent basic agricultural land, the Red Line of Ecological Protection and the Red Line of Urban Development.",0.1
"同时加强区域协同，发挥超大特大城市的区域发展引擎作用，引领形成多中心、网络化、开放式、集约型的区域发展格局，促进形成以城市群、都市圈为主要形态的新型城镇化格局，构建支撑新发展格局的主体功能明显、优势互补、高质量发展的国土空间体系
","At the same time, regional cooperation is strengthened, and regional development engines of super-large cities are played, leading the formation of a multi-centric, networked, open, and concentrated regional development pattern, promoting the formation of new urbanisation patterns that are the main form of urban groups and urban circles, and building a system of land spaces that supports the main features of the new development pattern, with distinct advantages, complementarities and high-quality development.",0.25925925925925924
"  自然资源部有关负责人称，本轮规划落实要加快超大特大城市转变发展方式的要求，发挥源头治理和系统治理作用，全面贯彻新发展理念，坚持以人民为中心，统筹发展和安全，促进人与自然和谐共生，整体谋划国土空间开发保护格局，推进超大特大城市治理体系和治理能力现代化，为推进中国式现代化提供坚实支撑
","The relevant officials in the Ministry of Natural Resources said that the round of planning is implementing the requirements to accelerate the transformation of the way of development of the megacity, play the role of source governance and system governance, fully implement the new development concepts, stick to people-centric, unified development and security, promote people and nature coexistence and coexistence, plan the overall landscape of national development and protection of the land, promote the modernization of megacity governance systems and governance capacity, and provide solid support for the promotion of Chinese modernisation.",0.05263157894736842
"  在全国范围编制国土空间规划的原因是，各级各类空间规划在支撑城镇化快速发展、促进国土空间合理利用和有效保护方面发挥了积极作用，但也存在规划类型过多、内容重叠冲突，审批流程复杂、周期过长，地方规划朝令夕改等问题
","The reason for the nationwide preparation of national spatial planning is that spatial planning at all levels plays a positive role in supporting rapid urbanisation, promoting the rational use and effective protection of national space, but there are also problems of over-typing, content overlapping conflicts, complexity of approval processes, over-duration of cycles, and local planning directions for change.",0.08333333333333333
"为此，我国将主体功能区规划、土地利用规划、城乡规划等空间规划融合为统一的国土空间规划，实现“多规合一”
","To this end, we have integrated spatial planning such as main functional area planning, land use planning, urban and rural planning into a unified national spatial planning, to achieve a multi-codification.",0.6666666666666666
"
",The first is,0.25
"　　此外，在复杂服务收费方面，立项指南设置复杂加收项价格项目
","In addition, the Guide for Compounded Services sets out a complex plus-cost program for complex service charges.",0.14285714285714285
"以拔牙为例，以往是按牙位收费，但同一牙位常常病情复杂程度不同，价格上“一刀切”无法充分反映复杂情形的临床价值
","For example, tooth extraction was once a dental charge, but the complexity of the same tooth is often different, and the increasing price of a cutting knife does not fully reflect the clinical value of a complex condition.",0.4666666666666667
"立项指南对于相同牙位的拔牙价格按照技术难度、劳动强度等设置复杂加收项价格项目，让复杂服务收费更清晰
","The Dental Guide sets complex extraction price projects for the same toothpick according to technical difficulty, labor intensity, and so on, to make the complex service charges clearer.",0.6
"　　在耗材收费方面，立项指南推广个性化耗材收费“一口价”模式
","In terms of consumption charges, the Guidelines promote a personalized consumption charge-by-price model.",0.125
"此前口腔矫治器、保持器、运动护齿等个性化产品按制作步骤，拆分收费，名目繁多，消费体验差
","Previously, personalized products such as oral contraceptives, retainers, exercise pads, and more have been produced in stages, with splitting costs, a large number of names, and poor consumer experiences.",0.36363636363636365
"此次指南借鉴牙冠收费“一口价”模式，医疗机构自行制作或委托加工的成本费用合并计入“一口价”，支持医疗机构可根据患者个人需求，提供个性化服务
","The guide draws on the one-to-one pricing model of dental crown fees, the cost of medical institutions' own production or commissioned processing combined into one-to-one pricing, and supports medical institutions to provide personalized services based on individual needs of patients.",0.4
"　　在口腔正畸矫治方面，立项指南将正畸矫治分阶段、分难易程度设置价格项目，让医院收费更清楚，让患者付费更明白
","In the case of oral rehab, the guidelines will break down the stages of rehab, the difficulty of setting pricing plans, make hospital charges clearer and patients pay more clearly.",0.1
"此外，在各地对接落实口腔类立项指南过程中，国家医保局鼓励有关省份加大集采产品使用力度，倡导相关企业结合正畸产品集采的价格，进一步压缩流通环节加价，适当降低正畸治疗的经济门槛，进一步提高正畸矫治的可及性
","In addition, in the course of the guidance on the implementation of oral-type statements across the country, the National Health and Safety Administration encouraged the relevant provinces to increase the use of collective collective products, advocate for the prices of collective collective collective products of the PRC, further compress the prices of the distribution link, appropriately reduce the economic barriers to the treatment of the PRC, and further improve the availability of the PRC.",0.5294117647058824
"
",The first is,0.25
"  中央驻港机构、香港特区政府、驻港中资机构及香港各界代表参加了当天的开通仪式
","Representatives from the Central Bank of Hong Kong, the Hong Kong Special Administrative Region, the Central Bank of Hong Kong and Hong Kong participated in the opening ceremony.",0.1111111111111111
