zho,eng
"  得益于盘活存量资源，一块块荒地正蝶变成宝地，一个个传统企业焕然一新，一项项“无形资产”被“有形盘活”，为经济发展注入新的活力和动力
","Thanks to the abundance of resources, a piece of wasteland is turning into a treasure, a traditional enterprise is being rebuilt, a collection of intangible assets is being recycled into a plastic plate, injecting new vitality and momentum into economic development."
"
",The first is
"  明确方向，以科技创新引领产业创新  “产业有新有旧、有大有小，都是现代化产业体系的重要组成
","The new and old, large and small aluminum industry is an important part of the modern industrial system."
"”中国信息通信研究院政策与经济研究所所长辛勇飞说，实现新旧动能平稳接续转换，要科学把握“稳”与“进”、“立”与“破”的辩证关系，在培育新兴产业、未来产业和改造提升传统产业上协同发力
","Xin Yongfei, director of the Institute of Policy and Economics of the Institute of Information and Communications of China, said that to achieve a smooth and continuous transformation of new and old energies, science must grasp the diametrical relationship between lithium and lithium, lithium and lithium, and the development of emerging industries, future industries and transformation and upgrading of traditional industries."
"
",The first is
"  “这套取火器是此遗址发现的最长、保存最完整的钻木取火器具
",The set of fire extinguishers is the longest and most complete preserved of the wood-burning fire extinguishers found at the site.
"”甘恢元说，取火板的一端还有一圈环形刻槽，可用于系绳，便于先民随身携带或悬挂
","Zhang said that a ring-shaped slot on one end of the fireplaces could be used to tie ropes, which could be carried or hung by the first settlers."
"此外，先民在取火板上等距离预留了刻槽，以便在取火时，火星能够顺着刻槽下落，引燃火绒等易燃物
","In addition, the first humans set aside a hole in the fireplaces so that when the fire was extinguished, Mars could descend in sequence and ignite flammable objects such as torches."
"
",The first is
"  行业的普遍共识是，新的汽车产业革命“上半场”拼的是电动化，而“下半场”比的是智能化
","The industry's general consensus is that the first half of the new automotive revolution is about electrification, while the second half is about smart."
"作为全球汽车产业乃至科技竞争的制高点之一，“智能驾驶”赛道上的争夺也日益白热化
","As one of the highlights of global automotive industry and technology competition, competition on the racetrack for smart cockpits is also increasingly heating up."
"
",The first is
"春节的年味儿还没散，国家乳业技术创新中心总部的乳品工艺实验室里早已开展了多次联合实验和技术交流
",The yearly celebration of Spring Festival is still underway and several joint experiments and technical exchanges have been carried out in the dairy processing laboratory at the National Dairy Technology Innovation Centre.
"“今年是我们精深加工技术成果转化、项目落地投产的关键一年，大家丝毫不敢松懈、热情都很高
","This year is a critical year for our transformation of deep processing technology and the launch of projects, and we are all very excited and excited."
"” 全国人大代表、国家乳业技术创新中心高级专家、伊利集团全球创新中心科学研究总监王彩云长期聚焦我国奶业精深加工核心技术的攻关
","Wang Wang Yun, Senior Specialist at the National Milk Technology Innovation Center, Director of Scientific Research at the Global Innovation Center at Eli Group, has long focused on the core technologies of the dairy industry."
"能够突破国际技术壁垒、实现国产化生产应用，把奶瓶子牢牢握在中国人自己的手里，是她的梦想
","She has a dream to break international technological barriers, to achieve domestic production applications, to hold milk bottles in Chinese hands."
"
",The first is
"  一部分答案藏在斜街中部的一个红色邮筒里
",Some of the answers are hidden in a red postcard in the middle of the slope.
"这是大栅栏街区责任规划师、北京工业大学教授熊文的“秘密武器”
","This is the secret weapon of the great Japanese block of responsibility planner, professor of Chinese at Beijing Industrial University."
"
",The first is
"  依据《通知》，中央财政奖励资金专项用于支持县域充换电设施补短板试点工作，由地方统筹用于支持试点县公共充换电设施建设、运营，配电网改造以及能源信息管理等相关支出，不得用于其他国家级充换电设施建设应用推广或试点示范等项目支持下的集中式公共充换电场站建设、集中式专用充换电场站建设、社区公共充换电设施共享，以及充换电网络建设运营等工作
","According to the notification, the special financial incentive funds for the support of pilot projects to replenish short panels for charging facilities in the county, to be jointly funded by local authorities to support the construction, operation, conversion of the distribution network and energy information management of the pilot projects, and not to be used for projects such as the construction of centralized public charging stations, the construction of centralized dedicated charging stations, the sharing of community public charging facilities, and the operation of charging networks, supported by other national projects such as the promotion of applications for the construction of charging facilities or pilot demonstrations."
"
",The first is
"  《实施方案》提出，金融机构要从需求侧重点服务产业结构优化升级，能源体系低碳转型，生态环境质量改善和生物多样性保护，碳市场建设等领域
","The implementation of the project is aimed at improving the structure of the financial institutions from a demand-focused service industry to an optimized upgrade, a low-carbon transformation of the energy system, improvement of the quality of the ecological environment and protection of biodiversity, and the construction of carbon markets."
"要从供给侧优化金融服务，加大银行信贷供给，完善绿色保险体系，拓展绿色金融服务渠道，健全绿色金融标准，逐步建立完善信息披露机制
","The aim is to optimize financial services from the supply side, increase the supply of bank credit, improve the green insurance system, expand the green financial services channel, strengthen green financial standards and gradually establish improved disclosure mechanisms."
"鼓励金融机构开发特色绿色金融产品服务，规范开展绿色债券业务，加强募集资金管理
","Encourage financial institutions to develop features of green financial products services, regulate green bond business and strengthen fundraising management."
"保险公司要围绕服务绿色转型，研发有针对性的风险保障方案，推动绿色保险业务提质增效，加强保险资金运用，通过投资绿色债券、绿色资产支持证券、保险资产管理产品等参与绿色项目投资
","Insurance companies should invest in green projects, including green services, green transformation, targeted risk management, green business enhancement, increased use of insurance funds, and investing in green bonds, green asset support securities, and insurance asset management products."
"
",The first is
"　　新华社社长傅华在会上发表主旨演讲表示，中日两国一衣带水，文化相通相近，历史人文渊源深厚
","In his keynote address, Xinhua editor Liu Hua said that the two countries' clothing brought water, cultural ties and deep historical and human resources."
"中日两国人文交流在新时代大有可为
",The Chinese-Japanese exchange of people-to-people is a new era.
"两国媒体智库界应继往开来、担当责任，携手传播和平共处理念、拓宽世代友好桥梁、拉紧互利合作纽带、唱响共同发展强音，推动两国人文交流不断取得新进展新成效
","The media community of the two countries should continue to develop, take responsibility, work together to spread peace and co-operation, broaden the bridges of generational friendship, strengthen the bonds of mutual benefit, promote the development of a strong voice and promote the continuous development of human and human exchanges between the two countries."
"面向未来，新华社愿与中日媒体智库同仁一道，共同讲好中日增进互信合作的动人故事，续写两国人民相知相亲的历史佳话
","Looking to the future, the Chinese community is willing to work with the Chinese-Japanese media think tank to share the exciting stories of China-Japan enhancing mutual trust and cooperation, and to rewrite the history of the people of the two countries who know each other."
"
",The first is
"  今年年初，淘宝、美团、小红书推出数十部微短剧，长视频与短视频平台“牵手”等新动向，“有望合力提升行业天花板”，给微短剧题材同质化、创新力不足、审美疲劳等问题，提供了新的解决思路
","Earlier this year, Taobao, Mercy, and Little Red Book launched dozens of short films, feature films and short video platforms, which together will raise the industry's ceiling, give them a new solution to the problems of synthesis, lack of innovation, aesthetic fatigue, and more."
"
",The first is
"  ——增强科技支撑，从“漫天撒网”到“精准定向”治污
","The technology support is enhanced by the use of a new technology, which is aimed at curing contamination from the scarcity of the network to the precision of the target."
"太原市大气污染防治调度中心每天派出无人机，排查违法排污的蛛丝马迹；紧盯重点工业企业用电监管数据，如有异常就立即展开排查；接入排污口的污染源在线监测实时数据，如果超标及时预警；布设在省城国道上的黑烟车报警系统，实时抓拍拖着“黑尾巴”的柴油货车；通过车辆基本信息及北斗定位数据，紧盯渣土车是否进入禁行区；通过环境敏感区设立的“电子围栏”，判定是否有高排放的施工机械进入“电子围栏”范围
","The TTAC sends out unmanned aerial vehicles every day to scan for illegal pollution; tightly focused industrial enterprises use electricity control data, if there are exceptions, immediately open the screening; access to pollution sources online monitoring data, if over-excess timely warning; set up a black smoke alarm system on the provincial highway, real-time to catch diesel cars that drag black tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail tail ta"
"
",The first is
"中国人的饭桌上，三餐四季，五味俱全
","Chinese food is always served at the table, three meals, four seasons, five flavors."
"所谓“五味”，人们通常指“酸甜苦辣咸”，中医则分为“酸苦甘辛咸”
","The name ""Chenchong"" is often used to refer to the Chinese word ""Chenchong"", which is a Chinese word for ""Chenchong""."
"不同的味道与健康之间存在什么关系？
",What is the relationship between different tastes and health?
"　　哪些人适合吃辛辣食物？　　“还要避免‘大量辣椒+冰镇饮料’的冷热叠加式吃法
",Who is suitable for eating raw food? The cook should also avoid eating cold-heated superseded foods that contain a large amount of raw rice + ice cream.
"”王蕤说，血管的急剧舒缩变化，尤其危及脑梗、冠心病、高血压等患者及冠状动脉搭桥术后人群健康
","Wang Yi said that the rapid changes in blood vessels, especially in patients with stroke, coronary heart disease, high blood pressure and coronary artery bypass surgery, are at risk."
"
",The first is
"  跨境医疗并不是一件容易的事，这个越南家庭异国求医的背后，是一整套多部门协作的国际诊疗服务体系在保驾护航
","Cross-border healthcare is not an easy task, and behind this family seeking medical care abroad in Vietnam is a multi-sectoral collaborative international clinical service system that is driving the flight."
